Name,Module,Release No,Dependencies,Description,Supported,From field: Dependencies,Created
Shesha.Enterprise-2.4.9,Shesha.Enterprise,2.4.9,Shesha.Core-0.41.6,Updated to the Shesha 0.41.6,,BoxStack-11,2025-10-17 9:24am
Shesha.Enterprise-2.4.8,Shesha.Enterprise,2.4.8,Shesha.Core-0.41.5,Fixed draft items and changed the filter method to use the index on questionnaire component,,BoxStack-10,2025-10-17 9:24am
Shesha.Enterprise-2.4.5,Shesha.Enterprise,2.4.5,Shesha.Core-0.41.4,Installed IDisposableAnalyzers,,BoxStack-9,2025-10-17 9:24am
Shesha.Enterprise-2.4.4,Shesha.Enterprise,2.4.4,Shesha.Core-0.41.3,,,BoxStack-8,2025-10-17 9:24am
Shesha.Enterprise-2.4.2,Shesha.Enterprise,2.4.2,Shesha.Core-0.41.2,Updated account invitation migrations to use the new module ensure exists function from core,,BoxStack-7,2025-10-17 9:24am
Shesha.Enterprise-2.4.0,Shesha.Enterprise,2.4.0,Shesha.Core-0.41.1,"Updated account invitation notifications and migration forms.

NB: Tree component is broken",,BoxStack-6,2025-10-17 9:24am
Shesha.Enterprise-2.2.7,Shesha.Enterprise,2.2.7,Shesha.Core-0.40.0,Bug fixes,,,2025-10-17 9:24am
Shesha.Enterprise-2.2.0,Shesha.Enterprise,2.2.0,Shesha.Core-0.40.0,"Updated to Shesha version 0.40.0
Added support for Multi-instance-activities",,BoxStack-4,2025-10-17 9:24am
Shesha.Enterprise-2.1.1,Shesha.Enterprise,2.1.1,Shesha.Core-0.39.3,Cherry picked the latest changes of organisation account,,BoxStack-3,2025-10-17 9:24am
Shesha.Enterprise-2.0.9,Shesha.Enterprise,2.0.9,Shesha.Core-0.39.2,,,BoxStack-2,2025-10-17 9:24am
Shesha.Enterprise-1.9.3,Shesha.Enterprise,1.9.3,Shesha.Core-0.39.1,Updated organisation account forms,,BoxStack-1,2025-10-17 9:24am
